topic_idx 0,recovery,wastewater,biosolids,resource,knowledge,energy,state,research,water,treatment,nutrient,september,subscribers,potential,werf,project,technologies,management,products,processes,materials,process,produce,resources,current
topic_idx 1,wastewater,struvite,reactor,treatment,tank,invention,embodiments,effluent,method,example,formation,piping,phosphorus,phosphate,according,reaction,flow,scale,recovery,precipitation,control,methods,form,claims,systems
topic_idx 2,digest,acid,organic,calcined,calcite,calcium,digester,phosphate,anaerobic,phosphorus,phosphates,process,thermophilic,carbonate,precipitated,magnesium,digestion,exchange,invention,ltration,treatment,sludge,dolomite,removal,patent
topic_idx 3,digestate,processing,liquid,biogas,nutrient,fuchs,fraction,solid,separation,figure,recovery,process,decanter,costs,organic,evaporation,membrane,content,tate,applied,nitrogen,substrate,manure,treatment,ammonia
topic_idx 4,biosolids,energy,recovery,resource,management,biogas,advancing,nutrient,enabling,research,future,wastewater,technologies,solids,water,utilities,digestion,programs,carbon,public,fuel,treatment,products,program,process
topic_idx 5,scope,calcium,phosphate,raising,patent,acids,phosphorus,fatty,volatile,carbonate,sheet,thermophilic,digester,phase,cation,claim,anaerobic,application,comprises,sewage,acid,magnesium,calcined,invention,brushite
topic_idx 6,membrane,nutrient,recovery,wastewater,water,distillation,urine,technol,fouling,ammonia,forward,osmosis,process,electrodialysis,draw,membr,phosphate,desalination,struvite,environ,hybrid,zhang,processes,concentration,solution
topic_idx 7,fertiliser,criteria,struvite,regulation,organic,contaminants,content,recovered,matter,limit,waste,inorganic,process,proposed,fertilisers,substrate,limits,sustainable,requirements,installation,european,water,safety,recovery,phosphorus
topic_idx 8,silica,step,fluoride,phosphate,removal,wastewater,membrane,embodiments,according,method,ammonia,pond,stage,polishing,recovery,containing,comprising,treatment,struvite,permeate,comprises,calcium,second,invention,compound
topic_idx 9,section,wastewater,tank,reactor,cross,flow,embodiments,path,inlet,velocity,clarifying,fluid,manifold,outlet,particles,recycle,comprises,located,embodiment,step,recycling,comprise,example,removed,claims
topic_idx 10,sludge,process,phosphorus,reactor,struvite,wwtp,airprex,liquor,crystallisation,product,figure,recovery,pilot,treatment,dewatering,extraction,digested,pearl,specific,operation,phosphate,precipitation,water,crystals,dosing
topic_idx 11,tank,reaction,embodiments,outlet,stripping,dioxide,aqueous,carbon,aeration,flow,reactor,according,controller,probes,control,wastewater,claim,response,located,piping,method,solution,portion,comprise,increase
topic_idx 12,digestate,enhancement,digestates,process,treatment,digestion,liquor,usage,anaerobic,chemical,product,feedstock,available,waste,water,resistance,temperature,solids,products,technology,potential,heat,pressure,thermal,operation
topic_idx 13,stuttgart,dissolution,phosphorus,sludge,plant,recovery,struvite,fertiliser,process,sewage,product,operation,regarding,scale,water,digested,metal,technology,phosphate,nutrient,wastewater,practice,conducted,step,acid
topic_idx 14,water,draw,membrane,struvite,flux,sludge,process,digested,forward,osmosis,centrate,elimelech,technol,hybrid,phosphorus,diffusion,environ,figure,magnesium,solution,feed,fouling,reverse,distillation,information
topic_idx 15,digestate,techniques,technique,fraction,ammonia,manure,membrane,slurry,content,processing,liquid,osmosis,recovery,nutrient,process,water,stripping,acid,development,algae,phosphorus,product,nutrients,total,concentrate
topic_idx 16,upstream,injected,injection,device,separation,precipitation,struvite,signals,probe,injecting,liquid,formation,centrate,pressure,solid,process,flow,containing,dioxide,digester,removing,comprising,response,carbon,figure
topic_idx 17,upstream,injected,device,injection,separation,injecting,containing,liquid,metering,signals,comprising,piping,solid,struvite,digester,tank,clarifying,probe,centrate,process,embodiments,response,reaction,added,pump
