fuel;cell
hydrogen;sulfide
waste;management
municipal;solid
solid;waste
experimental;column
flow;rate
diffusion;coefficient
carbon;dioxide
landfill;adsorption
porous;medium
activated;carbon
modelling;simulation
municipal;waste
mswi;bottom
sardinia;fifteenth
moisture;content
power;plant
fifteenth;international
babiu;process
international;waste
pilot;scale
landfill;symposium
sulfide;concentration
adsorption;capacity
elemental;sulfur
water;content
surface;area
mass;balance
balance;equation
leachate;experimental
waste;incineration
chemical;potential
figure;figure
total;sulfide
removal;capacity
simulation;landfill
shown;figure
solid;phase
management;landfill
utilization;landfill
adsorption;bottom
landfill;utilization
biogas;landfill
