waste,management
solid,waste
hydrogen,sulfide
municipal,solid
landfill,adsorption
fuel,cell
fuel,cells
experimental,columns
municipal,waste
flow,rate
carbon,dioxide
diffusion,coefficients
mswi,bottom
landfill,symposium
international,waste
figure,figure
management,landfill
water,content
moisture,content
babiu,process
simulation,landfill
modelling,simulation
adsorption,capacity
adsorption,bottom
waste,incineration
sulfide,concentrations
activated,carbon
utilization,landfill
mass,balance
porous,media
leachate,experimental
elemental,sulfur
power,plant
biogas,landfill
pilot,scale
surface,area
sardinia,fifteenth
fifteenth,international
landfill,utilization
chemical,potential
shown,figure
mass,transfer
landfill,fuel
construction,demolition
solid,phase
maxwell,stefan
input,flow
sulfur,cake
methane,carbon
removal,capacity
