hydrogen,sulfide
waste,management
municipal,solid
solid,waste
fuel,cell
fuel,cells
flow,rate
carbon,dioxide
experimental,columns
diffusion,coefficients
modelling,simulation
landfill,adsorption
sardinia,fifteenth
porous,media
maxwell,stefan
mswi,bottom
babiu,process
fifteenth,international
moisture,content
municipal,waste
landfill,symposium
activated,carbon
international,waste
construction,demolition
united,states
pilot,scale
kgtm,kgtm
entropy,inequality
water,content
elemental,sulfur
power,plant
mass,balance
previously,mentioned
sulfide,concentrations
test,runs
paper,food
podere,rota
sulfur,cake
leachate,experimental
adsorption,capacity
particle,size
surface,area
inlet,outlet
mass,transfer
stockholm,sweden
environmental,protection
umsatzrate,umsatzrate
chemical,potential
protection,agency
waste,incineration
