fixed;medium;bioreactors
sawdust;glass;sphere
organic;loading;rate
influent;effluent;removal
minimum;fluidization;velocity
sulfate;reducing;bacteria
acid;mine;drainage
waste;management;association
specific;surface;area
hour;influent;effluent
biotrickling;filter;packed
mass;transfer;coefficient
date;hour;influent
column;date;hour
volatile;organic;compound
maximum;elimination;capacity
journal;waste;management
removal;column;date
effluent;removal;column
water;holding;capacity
packed;polyurethane;foam
linear;regression;model
filter;packed;polyurethane
long;term;performance
hydraulic;loading;rate
wastewater;treatment;plant
sanitary;sewer;overflow
pressure;drop;across
biological;aerated;filter
solid;fluidized;bioreactor
three;stage;biofilter
empty;residence;time
total;dissolved;sulfide
packing;material;used
performance;biotrickling;filter
poplar;wood;chip
inorganic;packing;material
chem;technol;biotechnol
organic;packing;material
published;research;press
wood;chip;bark
suspended;biomass;concentration
different;packing;material
hydraulic;retention;time
water;science;technology
liquid;feed;rate
glass;sphere;sawdust
startup;long;term
packing;material;biofiltration
static;granular;reactor
foam;poplar;wood
term;performance;biotrickling
polyurethane;foam;poplar
appl;microbiol;biotechnol
phase;particulate;region
liquid;biofilm;phase
biofilter;packing;material
maple;wood;chip
time;course;loading
packing;material;different
fluidization;velocity;binary
pilot;scale;sgbr
introduction;material;method
pressure;drop;versus
aged;refuse;slag
pilot;scale;system
mine;drainage;treatment
qfactor;hsamples;vsamples
tilewidth;tileheight;quality
journal;hazardous;material
http;tandfonline;full
hydraulic;residence;time
figure;calibration;curve
particle;size;distribution
velocity;binary;mixture
drop;versus;velocity
scanning;electron;microscopy
inlet;outlet;concentration
organic;carbon;source
specific;growth;rate
water;environment;federation
page;startup;long
shell;plastic;ball
wood;http;tandfonline
dispersed;plug;flow
mixture;glass;sphere
concentration;removal;efficiency
poplar;wood;http
municipal;wastewater;treatment
total;main;xlab
cocopeat;sphagnum;peat
property;packing;material
high;hydraulic;loading
moisture;content;sawdust
porous;glass;bead
high;removal;efficiency
department;chemical;engineering
inlet;ethanol;loading
binary;mixture;sawdust
waste;paper;pulp
article;article;article
oyster;shell;plastic
order;rate;constant
poraver;porous;glass
steady;state;condition
granular;activated;carbon
various;organic;loading
plug;flow;model
mixture;sawdust;glass
desalination;water;treatment
proceeding;water;environment
water;soil;pollut
chemical;oxygen;demand
environment;federation;annual
hydrogen;sulfide;removal
glass;sphere;packing
corresponding;author;mail
composted;wood;mulch
moisture;content;basis
treating;slaughterhouse;wastewater
fixed;medium;bioreactor
annual;conference;exposition
first;order;kinetics
federation;annual;conference
method;result;discussion
sulphate;reducing;bacteria
peat;fluidized;bioreactor
inlet;ethanol;concentration
treatment;acid;mine
desulfovibrio;desulfuricans;consortium
sauter;mean;diameter
sand;felt;sand
biofilter;pressure;drop
peat;granule;fluidized
tire;derived;rubber
subtracted;difference;adjusted
derived;rubber;particle
mean;difference;value
inorganic;based;biofilter
difference;value;value
sample;samplessample;paste
mass;transfer;limitation
pwcr;pufr;respectively
performance;fixed;medium
sand;peat;sand
natural;zeolite;powder
performance;sand;bioreactors
mass;flow;meter
celite;lava;celite
upflow;anaerobic;sludge
long;term;operation
material;different;origin
entire;experimental;period
wastewater;treatment;system
long;term;bioreactors
peat;sand;felt
fluidized;packed;bioreactors
organic;matter;content
compost;based;biofilter
term;bioreactors;acid
bioreactors;acid;mine
removal;organic;matter
natural;organic;material
scanning;electron;microscope
packing;material;composed
treatment;organic;matter
removal;efficiency;elimination
elimination;capacity;removal
phase;biotrickling;filter
figure;breakthrough;curve
sawdust;moisture;glass
celite;diatomaceous;earth
suitable;packing;material
equilibrium;partial;pressure
sample;matrix;sample
ohio;antidegradation;rule
data;month;residual
efficiency;elimination;capacity
inlet;loading;rate
diatomaceous;earth;pellet
anaerobic;sludge;blanket
high;flow;rate
felt;peat;sand
moist;sawdust;glass
iowa;state;university
moisture;glass;sphere
binary;mixture;glass
figure;scanning;electron
felt;sand;bioreactors
standard;method;examination
microbial;growth;rate
sulfate;reduction;rate
biological;removal;characteristic
nitrate;removal;rate
type;fixed;medium
method;examination;water
examination;water;wastewater
time;course;plot
pressure;drop;biofilter
packed;poplar;wood
