sanitary;sewer;overflow
acid;mine;drainage
published;research;press
chem;technol;biotechnol
linear;regression;model
waste;management;association
empty;residence;time
column;date;hour
date;hour;influent
poplar;wood;chip
mass;transfer;coefficient
minimum;fluidization;velocity
specific;surface;area
wood;chip;bark
volatile;organic;compound
pressure;drop;across
journal;waste;management
sulfate;reducing;bacteria
biological;aerated;filter
sawdust;glass;sphere
packed;polyurethane;foam
water;holding;capacity
maximum;elimination;capacity
hour;influent;effluent
removal;column;date
long;term;performance
total;dissolved;sulfide
biotrickling;filter;packed
fixed;medium;bioreactors
three;stage;biofilter
filter;packed;polyurethane
hydraulic;loading;rate
suspended;biomass;concentration
wastewater;treatment;plant
performance;biotrickling;filter
influent;effluent;removal
organic;loading;rate
solid;fluidized;bioreactor
effluent;removal;column
inorganic;packing;material
different;packing;material
packing;material;used
organic;packing;material
