nutrient,recovery
anaerobic,digestion
wastewater,treatment
resource,recovery
organic,acid
acid,digest
reaction,tank
enhancement,treatment
digestates,anaerobic
treatment,digestates
full,scale
solid,liquid
sewage,sludge
digestate,processing
digested,sludge
reactor,tank
recovery,biosolids
treatment,system
struvite,precipitation
liquid,separation
digestion,process
treatment,plant
cross,section
enabling,future
phosphorus,recovery
carbon,dioxide
advancing,resource
future,advancing
organic,matter
land,application
energy,recovery
data,available
liquid,fraction
biosolids,management
method,according
ammonium,phosphate
waste,water
phosphate,recovery
usage,
water,environment
calcium,phosphate
according,claim
calcined,calcite
claim,wherein
operation,
solid,fraction
forward,osmosis
carbon,footprint
activated,sludge
,temperature
