et,al
anaerobic,digestion
nutrient,recovery
resource,recovery
yes,yes
o,n
wastewater,treatment
acid,digest
organic,acid
n,o
reaction,tank
full,scale
http,www
digestates,anaerobic
e,g
wo,pct
enabling,future
future,advancing
ion,exchange
treatment,digestates
carbon,dioxide
advancing,resource
solid,liquid
cross,section
enhancement,treatment
fluidized,bed
ca,wo
digested,sludge
sewage,sludge
pct,ca
liquid,separation
calcined,calcite
digestate,processing
sci,technol
land,application
claim,wherein
forward,osmosis
organic,matter
reactor,tank
reverse,osmosis
according,claim
method,according
data,available
environ,sci
knowledge,september
struvite,precipitation
state,knowledge
liquid,fraction
carbon,footprint
recycling,path
